component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
sasa,4+,medium,all_in,weight_layer_3,4,1,5,0.6551641821861267
sasa,4+,medium,all_in,entropy,4,2,5,0.6943446405297142
sasa,4+,medium,all_in,max_weight,4,2,5,0.6544628739356995
sasa,4+,medium,all_in,uniform_l1,4,2,5,0.20223143603652716
sasa,4+,medium,all_in,weight_layer_0,4,2,5,0.04028017446398735
sasa,4+,medium,all_in,weight_layer_1,4,2,5,0.10063789039850235
sasa,4+,medium,all_in,weight_layer_2,4,2,5,0.20461906492710114
sasa,4+,medium,all_in,weight_layer_3,4,2,5,0.6544628739356995
sasa,4+,medium,all_in,entropy,4,3,5,0.6912420323874583
sasa,4+,medium,all_in,max_weight,4,3,5,0.6567949652671814
sasa,4+,medium,all_in,uniform_l1,4,3,5,0.20339749660342932
sasa,4+,medium,all_in,weight_layer_0,4,3,5,0.039734963327646255
sasa,4+,medium,all_in,weight_layer_1,4,3,5,0.09966647624969482
sasa,4+,medium,all_in,weight_layer_2,4,3,5,0.20380353927612305
sasa,4+,medium,all_in,weight_layer_3,4,3,5,0.6567949652671814
sasa,4+,medium,all_in,inter_person_l1,4,all,5,0.0009568317327648401
ggsf,4+,medium,all_in,mean,4,0,6,0.9564684629440308
ggsf,4+,medium,all_in,variance,4,0,6,0.0002857264189515263
ggsf,4+,medium,all_in,std,4,0,6,0.01690344326198101
ggsf,4+,medium,all_in,min,4,0,6,0.9262065291404724
ggsf,4+,medium,all_in,max,4,0,6,0.9881401062011719
ggsf,4+,medium,all_in,spatial_entropy,4,0,6,0.9999775077727143
ggsf,4+,medium,all_in,identity_l1,4,0,6,0.04353151097893715
ggsf,4+,medium,all_in,dynamic_range,4,0,6,0.06193357706069946
ggsf,4+,medium,all_in,mean,4,1,6,0.9427483081817627
ggsf,4+,medium,all_in,variance,4,1,6,0.00035450325231067836
ggsf,4+,medium,all_in,std,4,1,6,0.0188282560557127
ggsf,4+,medium,all_in,min,4,1,6,0.91753751039505
ggsf,4+,medium,all_in,max,4,1,6,0.98713219165802
ggsf,4+,medium,all_in,spatial_entropy,4,1,6,0.9999713898671877
ggsf,4+,medium,all_in,identity_l1,4,1,6,0.05725172907114029
ggsf,4+,medium,all_in,dynamic_range,4,1,6,0.06959468126296997
ggsf,4+,medium,all_in,mean,4,2,6,0.9410537481307983
ggsf,4+,medium,all_in,variance,4,2,6,0.0003866586775984615
ggsf,4+,medium,all_in,std,4,2,6,0.01966363936662674
ggsf,4+,medium,all_in,min,4,2,6,0.9144359230995178
ggsf,4+,medium,all_in,max,4,2,6,0.9837908148765564
ggsf,4+,medium,all_in,spatial_entropy,4,2,6,0.9999686509678409
