method,coverage,risk
final_plus_disagreement,0.0875,0.03916858626171158
final_plus_disagreement,0.09375,0.03857816507481445
final_plus_disagreement,0.1,0.03771651553305616
final_plus_disagreement,0.10625,0.036666718804941933
final_plus_disagreement,0.1125,0.03549796449200933
final_plus_disagreement,0.11875,0.03659880545502108
final_plus_disagreement,0.125,0.0358955155530402
final_plus_disagreement,0.13125,0.03503294244569021
final_plus_disagreement,0.1375,0.03458008820903003
final_plus_disagreement,0.14375,0.03455510197849683
final_plus_disagreement,0.15,0.03434585949894254
final_plus_disagreement,0.15625,0.036334901421751394
final_plus_disagreement,0.1625,0.035421558567169845
final_plus_disagreement,0.16875,0.03573145819506464
final_plus_disagreement,0.175,0.03474442353733013
final_plus_disagreement,0.18125,0.036746733494413424
final_plus_disagreement,0.1875,0.03688981973212823
final_plus_disagreement,0.19375,0.038568473501359835
final_plus_disagreement,0.2,0.04115252111851198
final_plus_disagreement,0.20625,0.04096321273927187
final_plus_disagreement,0.2125,0.041448298408874894
final_plus_disagreement,0.21875,0.04107311631281803
final_plus_disagreement,0.225,0.04183144320707535
final_plus_disagreement,0.23125,0.042230295656018386
final_plus_disagreement,0.2375,0.04223772511625757
final_plus_disagreement,0.24375,0.041545116208020726
final_plus_disagreement,0.25,0.04185812230184664
final_plus_disagreement,0.25625,0.04160719300156507
final_plus_disagreement,0.2625,0.04078893149850705
final_plus_disagreement,0.26875,0.04070879027211794
final_plus_disagreement,0.275,0.04035658765237099
final_plus_disagreement,0.28125,0.04019023264098506
final_plus_disagreement,0.2875,0.039950540711972786
final_plus_disagreement,0.29375,0.03978976787465575
final_plus_disagreement,0.3,0.04136905958795147
final_plus_disagreement,0.30625,0.04118068410807282
final_plus_disagreement,0.3125,0.04115780362403705
final_plus_disagreement,0.31875,0.04209468499925968
final_plus_disagreement,0.325,0.04281584136788688
final_plus_disagreement,0.33125,0.04325994491153466
final_plus_disagreement,0.3375,0.04285547659467194
final_plus_disagreement,0.34375,0.04342283661426398
final_plus_disagreement,0.35,0.04360167791438704
final_plus_disagreement,0.35625,0.04300459469066289
final_plus_disagreement,0.3625,0.04301110242174297
final_plus_disagreement,0.36875,0.042599586197561885
final_plus_disagreement,0.375,0.04235624372662687
final_plus_disagreement,0.38125,0.04213064187405138
final_plus_disagreement,0.3875,0.04181903444776034
final_plus_disagreement,0.39375,0.041776653977354854
final_plus_disagreement,0.4,0.04154594610230033
final_plus_disagreement,0.40625,0.041314654395186466
final_plus_disagreement,0.4125,0.041232037889434296
final_plus_disagreement,0.41875,0.04122187264844374
final_plus_disagreement,0.425,0.04142400294299171
final_plus_disagreement,0.43125,0.041323512836662274
final_plus_disagreement,0.4375,0.04166916138015608
final_plus_disagreement,0.44375,0.04232315519150231
final_plus_disagreement,0.45,0.04186280917996114
final_plus_disagreement,0.45625,0.04196136109330444
final_plus_disagreement,0.4625,0.04145319189506745
final_plus_disagreement,0.46875,0.041722527501848135
final_plus_disagreement,0.475,0.04157772611674167
final_plus_disagreement,0.48125,0.041494984145852266
final_plus_disagreement,0.4875,0.04213181092725121
final_plus_disagreement,0.49375,0.04199048826299029
final_plus_disagreement,0.5,0.04200501494384706
final_plus_disagreement,0.50625,0.04169631432900234
final_plus_disagreement,0.5125,0.04297323314673482
final_plus_disagreement,0.51875,0.04258502293700355
final_plus_disagreement,0.525,0.04324310066959988
final_plus_disagreement,0.53125,0.043348049921444594
final_plus_disagreement,0.5375,0.04298379285465938
final_plus_disagreement,0.54375,0.04257270572893338
final_plus_disagreement,0.55,0.04244599499145689
final_plus_disagreement,0.55625,0.042146122499705535
final_plus_disagreement,0.5625,0.04355791643816562
final_plus_disagreement,0.56875,0.04325136167254086
final_plus_disagreement,0.575,0.043133451671081735
final_plus_disagreement,0.58125,0.04303101741511444
final_plus_disagreement,0.5875,0.04299071647209049
final_plus_disagreement,0.59375,0.04387294316912004
final_plus_disagreement,0.6,0.04476379543221485
final_plus_disagreement,0.60625,0.04459934368775957
final_plus_disagreement,0.6125,0.04455135828507224
final_plus_disagreement,0.61875,0.0443634894651995
final_plus_disagreement,0.625,0.04412692100729994
final_plus_disagreement,0.63125,0.04483331093327888
final_plus_disagreement,0.6375,0.04483940757795326
final_plus_disagreement,0.64375,0.04503946923550636
final_plus_disagreement,0.65,0.04496757382914978
final_plus_disagreement,0.65625,0.04463294243314833
final_plus_disagreement,0.6625,0.04512427324487458
final_plus_disagreement,0.66875,0.04611495993526777
final_plus_disagreement,0.675,0.04596174417197139
final_plus_disagreement,0.68125,0.04579787858381296
final_plus_disagreement,0.6875,0.04665519143459249
final_plus_disagreement,0.69375,0.047751174155060506
final_plus_disagreement,0.7,0.048395929659720685
final_plus_disagreement,0.70625,0.04824873773225235
final_plus_disagreement,0.7125,0.049347458490239395
final_plus_disagreement,0.71875,0.04929760942131814
final_plus_disagreement,0.725,0.049823538540266415
final_plus_disagreement,0.73125,0.05050915133521838
final_plus_disagreement,0.7375,0.05032293984360216
final_plus_disagreement,0.74375,0.05165557598333373
final_plus_disagreement,0.75,0.051669929177789155
final_plus_disagreement,0.75625,0.05140630124209234
final_plus_disagreement,0.7625,0.0521862455811793
final_plus_disagreement,0.76875,0.05205411492735841
final_plus_disagreement,0.775,0.05301841296316983
