crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,mean,metric,n,scope,std
4+,medium,mixed,layer_2,layer_5,0.14772129970173703,directional_novelty,272,pair,0.005869267775240616
1,large,all_in,layer_2,layer_5,0.9691532346371192,linear_cka,33,pair,0.0007573508957151483
1,large,all_out,layer_2,layer_5,0.9704225334209993,linear_cka,119,pair,0.0008392246745067367
2-3,large,all_in,layer_2,layer_5,0.9317557847707127,linear_cka,18,pair,0.0014366191660689016
2-3,large,all_out,layer_2,layer_5,0.9335002049488634,linear_cka,37,pair,0.002191113666361374
2-3,large,mixed,layer_2,layer_5,0.930565475233472,linear_cka,40,pair,0.002340950619533654
4+,medium,all_in,layer_2,layer_5,0.9313244186455243,linear_cka,480,pair,0.015760927745998753
4+,medium,all_out,layer_2,layer_5,0.9648416753459845,linear_cka,1,pair,
4+,medium,mixed,layer_2,layer_5,0.9414240412184403,linear_cka,272,pair,0.01947928854780225
1,large,all_in,layer_2,layer_8,0.4422496753893313,directional_novelty,33,pair,0.002220319917101253
1,large,all_out,layer_2,layer_8,0.4428568168833086,directional_novelty,119,pair,0.0028509253756461464
2-3,large,all_in,layer_2,layer_8,0.42989979539643675,directional_novelty,18,pair,0.001774356421148739
2-3,large,all_out,layer_2,layer_8,0.41781720047048704,directional_novelty,37,pair,0.0033448570875140625
2-3,large,mixed,layer_2,layer_8,0.42256019511177134,directional_novelty,40,pair,0.004921459303733932
4+,medium,all_in,layer_2,layer_8,0.3922436969114268,directional_novelty,480,pair,0.007114968632254916
4+,medium,all_out,layer_2,layer_8,0.40326129803177835,directional_novelty,1,pair,
4+,medium,mixed,layer_2,layer_8,0.3937367466315552,directional_novelty,272,pair,0.00564527051872115
1,large,all_in,layer_2,layer_8,0.933826086954734,linear_cka,33,pair,0.0007471935958736739
1,large,all_out,layer_2,layer_8,0.9353770858394657,linear_cka,119,pair,0.0009412818310838737
2-3,large,all_in,layer_2,layer_8,0.8641527145889776,linear_cka,18,pair,0.0027627834737807486
2-3,large,all_out,layer_2,layer_8,0.873679519442904,linear_cka,37,pair,0.0037343128460581186
2-3,large,mixed,layer_2,layer_8,0.8664869836164734,linear_cka,40,pair,0.002918154461991835
4+,medium,all_in,layer_2,layer_8,0.8626904947072158,linear_cka,480,pair,0.03218006440056164
4+,medium,all_out,layer_2,layer_8,0.9273723089509641,linear_cka,1,pair,
4+,medium,mixed,layer_2,layer_8,0.8848223168511401,linear_cka,272,pair,0.03929650270480218
1,large,all_in,layer_5,layer_11,0.7503167224742922,directional_novelty,33,pair,0.0011363998472945628
1,large,all_out,layer_5,layer_11,0.7511264303956886,directional_novelty,119,pair,0.0007282843330392024
2-3,large,all_in,layer_5,layer_11,0.7430213902533068,directional_novelty,18,pair,0.002106080054402592
2-3,large,all_out,layer_5,layer_11,0.7374858364652583,directional_novelty,37,pair,0.0021256063839431966
2-3,large,mixed,layer_5,layer_11,0.7395261905300791,directional_novelty,40,pair,0.0020466317097227772
4+,medium,all_in,layer_5,layer_11,0.7360521555202535,directional_novelty,480,pair,0.0050787124923259664
4+,medium,all_out,layer_5,layer_11,0.7233061908983509,directional_novelty,1,pair,
4+,medium,mixed,layer_5,layer_11,0.7312634645234486,directional_novelty,272,pair,0.006630838115405058
1,large,all_in,layer_5,layer_11,0.8461273503214083,linear_cka,33,pair,0.002170953469858181
1,large,all_out,layer_5,layer_11,0.8432194858694402,linear_cka,119,pair,0.001085842341511798
2-3,large,all_in,layer_5,layer_11,0.838456552186874,linear_cka,18,pair,0.00355290681208692
2-3,large,all_out,layer_5,layer_11,0.8425425358778056,linear_cka,37,pair,0.0033171088728883636
2-3,large,mixed,layer_5,layer_11,0.8409840694024882,linear_cka,40,pair,0.0029206234505841323
4+,medium,all_in,layer_5,layer_11,0.8249212682569786,linear_cka,480,pair,0.0054089713906060625
4+,medium,all_out,layer_5,layer_11,0.8304461246131821,linear_cka,1,pair,
4+,medium,mixed,layer_5,layer_11,0.8298949744030544,linear_cka,272,pair,0.005510614685928729
1,large,all_in,layer_5,layer_8,0.26859973958343464,directional_novelty,33,pair,0.0011948259878266476
1,large,all_out,layer_5,layer_8,0.2663762511317378,directional_novelty,119,pair,0.001168170506005213
2-3,large,all_in,layer_5,layer_8,0.2645441346058676,directional_novelty,18,pair,0.0021312651794133945
2-3,large,all_out,layer_5,layer_8,0.2559504334459512,directional_novelty,37,pair,0.0035671150142765934
2-3,large,mixed,layer_5,layer_8,0.25937703000197404,directional_novelty,40,pair,0.004601393407756592
4+,medium,all_in,layer_5,layer_8,0.2428841696640644,directional_novelty,480,pair,0.004734913936754461
4+,medium,all_out,layer_5,layer_8,0.2521448416933507,directional_novelty,1,pair,
4+,medium,mixed,layer_5,layer_8,0.24428332657110416,directional_novelty,272,pair,0.003846607551184392
1,large,all_in,layer_5,layer_8,0.9697951404677844,linear_cka,33,pair,0.0006983110399481814
1,large,all_out,layer_5,layer_8,0.9684824606284571,linear_cka,119,pair,0.0006633493722651816
2-3,large,all_in,layer_5,layer_8,0.9694587960490316,linear_cka,18,pair,0.0009553024087588067
2-3,large,all_out,layer_5,layer_8,0.9731027329750761,linear_cka,37,pair,0.0013426985064232848
2-3,large,mixed,layer_5,layer_8,0.9713413265217614,linear_cka,40,pair,0.0012428985538641328
4+,medium,all_in,layer_5,layer_8,0.9658526432938601,linear_cka,480,pair,0.004834660499546792
4+,medium,all_out,layer_5,layer_8,0.9740744716217551,linear_cka,1,pair,
4+,medium,mixed,layer_5,layer_8,0.9693661945570791,linear_cka,272,pair,0.005737807942004013
1,large,all_in,layer_8,layer_11,0.6763143342701954,directional_novelty,33,pair,0.0012674742590022842
1,large,all_out,layer_8,layer_11,0.6764547640903351,directional_novelty,119,pair,0.0009508114014216893
2-3,large,all_in,layer_8,layer_11,0.6743330442298751,directional_novelty,18,pair,0.0017024737654502218
2-3,large,all_out,layer_8,layer_11,0.6665820634381635,directional_novelty,37,pair,0.0022125439867534255
2-3,large,mixed,layer_8,layer_11,0.6705574599620444,directional_novelty,40,pair,0.001997061325786598
4+,medium,all_in,layer_8,layer_11,0.6691157743517882,directional_novelty,480,pair,0.004658913474651638
4+,medium,all_out,layer_8,layer_11,0.660990822879124,directional_novelty,1,pair,
4+,medium,mixed,layer_8,layer_11,0.6644925943846265,directional_novelty,272,pair,0.004900416069515593
1,large,all_in,layer_8,layer_11,0.8921199351406252,linear_cka,33,pair,0.0012087944194787911
1,large,all_out,layer_8,layer_11,0.8910931333551617,linear_cka,119,pair,0.0014507727843662706
2-3,large,all_in,layer_8,layer_11,0.8917689212034206,linear_cka,18,pair,0.002483779122276142
2-3,large,all_out,layer_8,layer_11,0.8896312585695961,linear_cka,37,pair,0.0015266310435765147
2-3,large,mixed,layer_8,layer_11,0.88999652977061,linear_cka,40,pair,0.0018170110890786836
4+,medium,all_in,layer_8,layer_11,0.8858806359256378,linear_cka,480,pair,0.004302895640421868
4+,medium,all_out,layer_8,layer_11,0.8843742757644092,linear_cka,1,pair,
4+,medium,mixed,layer_8,layer_11,0.8865603797698801,linear_cka,272,pair,0.004934529045260433
