sample_id,dataset,split,image_path,person_index,localization_l2,failure,final_entropy,final_negative_peak,final_negative_margin,final_spread,pairwise_peak_distance_mean,pairwise_peak_distance_max,pairwise_js_mean,pairwise_js_max,geometry_semantics_conflict,semantic_peak_outside_geometry_support,probe_l2_2,probe_l2_5,probe_l2_8,probe_l2_11,domain,risk_final_confidence,risk_final_plus_disagreement
gazefollow:791924c44ff73c4b9c6e,gazefollow,risk_train,train/00000114/00114259.jpg,0,0.08234928794470539,0,0.7065397415862019,-0.009962978496109661,-0.00048360822470824155,0.1663364384508796,0.02617175192325971,0.04489566864676492,0.07155280887366477,0.08445618250537168,0.005611958580845615,0,0.009142905719737025,0.03654832725310421,0.02965028836284733,0.03654832725310421,id,0.3546575884927924,0.3449491408203566
gazefollow:609af744124faaac0bab,gazefollow,risk_train,train/00000011/00011484.jpg,0,0.032854878252703966,0,0.6310775516239143,-0.014200502970924768,-2.845287094743569e-05,0.07587327135944423,0.029271151064142787,0.047619047619047616,0.11154231847118755,0.23928110804560548,0.005611958580845615,0,0.04503459670075883,0.035147980382946586,0.014950101170226217,0.03338795478911517,id,0.09111417497126703,0.09857573117756765
gazefollow:31a36097ee5c6ce5ceaa,gazefollow,risk_train,train/00000098/00098109.jpg,0,0.13468582572045212,0,0.6719147811064137,-0.011687815215923724,-0.00019482025775894793,0.10428175662067445,0.5713269952795231,0.963035638864604,0.1697121720099711,0.2908977266229964,0.012548720873684053,0,0.5340951370308478,0.9488685069729104,0.13663891658308772,0.12130587537295959,id,0.18502969734944075,0.20061848325229836
gazefollow:1b21abab54486bed3f63,gazefollow,risk_train,train/00000024/00024640.jpg,0,0.011960724267367778,0,0.7490397779591637,-0.009989356044075064,-0.00021588625910428684,0.2905598504067441,0.30644146114765425,0.45175395145262565,0.09405499774558417,0.133625286878427,0.01122391716169123,0,0.4050549879954572,0.43420258756714014,0.004826313292773266,0.027406309492523814,id,0.578664626732162,0.5663589765311723
gazefollow:0b5efaa2aadb63773e2a,gazefollow,risk_train,train/00000068/00068563.jpg,0,0.05953576257175174,0,0.6898128576875621,-0.010622973159347345,-6.308904150453994e-05,0.11030870870066144,0.37223013983894954,0.7282583966320293,0.2007275864469006,0.420052307078003,0.012548720873684034,0,0.6955675341223165,0.047650001573976856,0.044249549715223054,0.01272819802642932,id,0.22861366991379853,0.2550233623998937
gazefollow:b1b9b9f10f7011a27c67,gazefollow,risk_train,train/00000099/00099668.jpg,0,0.014286134886665448,0,0.7174016212777647,-0.01047469310792739,-6.746679994696497e-05,0.13613071302716168,0.027250166877634305,0.03549314249999663,0.10712096870507097,0.22051261565312996,0.005611958580845634,0,0.24605947558466426,0.23490895821573088,0.25822900427721124,0.23624841248143869,id,0.33733257847150677,0.35337860606139115
gazefollow:42f154cf579490fccba3,gazefollow,risk_train,train/00000071/00071943.jpg,0,0.018022961049727677,0,0.6994833315455419,-0.009403073329636125,-0.0001249109699591848,0.10668303662999112,0.17365338044910708,0.2509744174736809,0.10011140827682248,0.1839009434715209,0.07031763947091012,0,0.20963617799654713,0.2413946760494108,0.24356191256023588,0.0336268438156185,id,0.26509721864392766,0.2664286516262237
gazefollow:1f53f42415a415fc983b,gazefollow,risk_train,train/00000063/00063301.jpg,0,0.047494497049658295,0,0.775710847911288,-0.006696964252383111,-0.0004849792604248336,0.14617950008741482,0.03876766786509272,0.057230972626412524,0.08822950605582959,0.1574145352743417,0.012548720873684034,0,0.47625437242087343,0.4349758711698845,0.465001286019727,0.4596071954669552,id,0.6225848531589826,0.6136295892552676
gazefollow:b83a300b0161bb1bce71,gazefollow,risk_train,train/00000007/00007344.jpg,0,0.3325540874053422,1,0.8549047733916557,-0.003924679648964075,-0.00013017354849183954,0.2964080742123596,0.22643719690020037,0.40809397245023626,0.09132088663928219,0.14099818448317186,0.14029896452114038,0,0.0908206635353431,0.12802082027935924,0.1394084683582744,0.2905593244932952,id,0.8962859727764941,0.896203654144806
gazefollow:2384e2ea895f441b5391,gazefollow,risk_train,train/00000109/00109799.jpg,0,0.01086797244199675,0,0.6710266514445887,-0.013805092308222175,-0.00011945343148400504,0.09175261294231209,0.13636352745687705,0.24845199749997665,0.06094864422526855,0.09963953811271958,0.01122391716169123,0,0.14996662236977934,0.12137327630083983,0.013172070831877552,0.02347346267596671,id,0.16264351125389587,0.16466901618868343
gazefollow:b432d556ae54fbb36614,gazefollow,risk_train,train/00000056/00056800.jpg,0,0.01205597984404421,0,0.7343463400133134,-0.010455868251800417,-0.0002757923143030701,0.1303002025789723,0.24824049674765106,0.4413155166494554,0.05739995681296159,0.07237348890865447,0.1560285972328373,0,0.26677858872105914,0.26883072001726294,0.4529023967975882,0.07932057047197781,id,0.40179150359359955,0.39306983496753606
gazefollow:ef4dffc31479b6076636,gazefollow,risk_train,train/00000069/00069683.jpg,0,0.029112679797641407,0,0.6864184276607789,-0.011682840290206177,-7.93585777667076e-05,0.1149758457706639,0.03424410558200838,0.06349206349206354,0.11202677321302294,0.22109635094063446,0.01254872087368406,0,0.023921446967104656,0.04751695092280224,0.013490783891234754,0.013490783891234754,id,0.22605075743484693,0.22646207084282846
gazefollow:1a5f1fa64a3ad1b29bcf,gazefollow,risk_train,train/00000065/00065042.jpg,0,0.03756671465539675,0,0.7015109110950845,-0.010817628818809827,-4.980617007519471e-05,0.11203287032842055,0.32778157761184024,0.5140995155778301,0.083771172002019,0.1286425504639206,0.01122391716169123,0,0.1549009519822264,0.10326812153322053,0.35118639360032156,0.3025162835286722,id,0.25998682130134254,0.27044486349728963
gazefollow:ddbe0306109ee0247529,gazefollow,risk_train,train/00000005/00005657.jpg,0,0.05233574901537191,0,0.7082845542070872,-0.0077095886024741555,-6.447843028088533e-05,0.11063707847926242,0.11641620317689964,0.21589635728151496,0.13413298322322503,0.23911184341930664,0.06398617260554405,0,0.16282169887640896,0.1892087950519214,0.08727407977171689,0.1612995544011204,id,0.3042684625703158,0.3105162724289089
gazefollow:14368400a2c3c4e7705d,gazefollow,risk_train,train/00000024/00024771.jpg,0,0.04692005141727792,0,0.7107298203071805,-0.009610792867383167,-0.0002996483803603782,0.11052777019292565,0.16187201453092143,0.2926839510251711,0.08268771421248738,0.11702108516549968,0.10347940325718491,0,0.11903718158625903,0.3176082600468697,0.03223944555974873,0.04692005141727792,id,0.31658625909356664,0.30229755568902866
gazefollow:2bc526ed08f877562b6d,gazefollow,risk_train,train/00000105/00105750.jpg,0,0.08440997127117154,0,0.6886242198217438,-0.011702860531138707,-0.0004604468677478213,0.11300947671555815,0.05030997602340296,0.0809368176760759,0.1534316099040864,0.3209939959591481,0.0,0,0.11847222564803958,0.11847222564803958,0.08440997127117154,0.03888540214527816,id,0.25212959201316865,0.25308771468823615
gazefollow:3896fb53d4478b0c2c3d,gazefollow,risk_train,train/00000001/00001086.jpg,0,0.03021809433104607,0,0.6737282354219887,-0.010244437728375392,-0.00025887129531956127,0.0935162925966908,0.041884455126662314,0.057230972626412524,0.15459422912140353,0.2884596238267069,0.007936507936507948,0,0.04128133779324501,0.04030363786310111,0.0152584640445885,0.006875598155797105,id,0.19183626979715362,0.2032792685153669
gazefollow:5e2c2e1734ac2324d62f,gazefollow,risk_train,train/00000090/00090084.jpg,0,0.014210211997011172,0,0.66462445521215,-0.014966678068448154,-0.0004173773515642465,0.10906804928380087,0.014323316302574324,0.02244783432338246,0.08748559316162059,0.13956394250233486,0.007936507936507936,0,0.003870012919875095,0.01778496907503637,0.003870012919875095,0.012351320779576548,id,0.1713881192667771,0.15907861715182567
